status_id,created_at,user_id,screen_name,text,source,is_quote,is_retweet,favorite_count,retweet_count,reply_to_status_id,reply_to_user_id,reply_to_screen_name,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords
994686473613045760,2018-05-10T21:11:50Z,188019652,CORPOELECinfo,RT @mppeevzla: #NotiSen|| Instalada en Caracas Jornada Mundial por las reparaciones de los pueblos afrodescendientes https://t.co/X6gXp943jr,Twitter Web Client,FALSE,TRUE,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994683467907682304,2018-05-10T20:59:53Z,188019652,CORPOELECinfo,@orivillafranca Estimada pruebe con este 3017584.01,TweetDeck,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994682012517715968,2018-05-10T20:54:06Z,188019652,CORPOELECinfo,"@roxydessy Podría indicarnos número de contrato o NIC, teléfono de contacto y punto de referencia para gestionar su caso.",TweetDeck,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994681373578420224,2018-05-10T20:51:34Z,188019652,CORPOELECinfo,RT @mppeevzla: Centro de Educación Inicial “Guardianes Eléctricos” celebró Día de las Madres en el MPPEE https://t.co/EMj0GcKCxb,Twitter Web Client,FALSE,TRUE,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994680890159714304,2018-05-10T20:49:39Z,188019652,CORPOELECinfo,"RT @mppeevzla: El ministro del @mppeevzla M/G @LMOTTAD, denunció este martes un nuevo acto de sabotaje contra el Sistema Eléctrico Nacional…",Twitter Web Client,FALSE,TRUE,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994677574675632128,2018-05-10T20:36:28Z,188019652,CORPOELECinfo,"@anaisteresagonz Podría indicarnos número de contrato o NIC, teléfono de contacto y punto de referencia para gestionar su caso. @CorpoelecNE",TweetDeck,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994677345125576704,2018-05-10T20:35:33Z,188019652,CORPOELECinfo,"@Randuc83 Su caso fue remitido al personal operativo, a la brevedad posible sera atendido. Gracias por escribirnos.@LMOTTAD",TweetDeck,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994669017720938496,2018-05-10T20:02:28Z,188019652,CORPOELECinfo,@Omaira90973717 Su caso será atendido por la cuenta correspondiente @CORPOELECFALCON,TweetDeck,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994668660085153792,2018-05-10T20:01:03Z,188019652,CORPOELECinfo,"@Randuc83 Podría indicarnos número de contrato o NIC, teléfono de contacto y punto de referencia para gestionar su caso.",TweetDeck,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994655164492648448,2018-05-10T19:07:25Z,188019652,CORPOELECinfo,@edgarokk Su caso será atendido por la cuenta correspondiente @corpoelecmon,TweetDeck,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994653580966682624,2018-05-10T19:01:08Z,188019652,CORPOELECinfo,"Regrann from lmottad  -  ""ULTIMA HORA"" ... Para todos aquellos que… https://t.co/r5c6OIFTI4",Instagram,FALSE,FALSE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994652346486583296,2018-05-10T18:56:13Z,188019652,CORPOELECinfo,@Germanbrea2 Su caso será atendido por la cuenta correspondiente @CorpoelecNE,TweetDeck,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994645747697160192,2018-05-10T18:30:00Z,188019652,CORPOELECinfo,"Siempre innovando, ahora puedes pagar tu factura del servicio eléctrico usando tu Carnet de la Patria previamente registrado en #BilleteraMovil @MiBilleteraVe

Disponible sólo en el CIAU San Bernardino #Caracas https://t.co/zPaEjXMbiz",TweetDeck,FALSE,FALSE,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994645292665462784,2018-05-10T18:28:12Z,188019652,CORPOELECinfo,@AndreaRosella Su caso será atendido por la cuenta correspondiente @CorpoelecNE,TweetDeck,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
